#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
NGC  4262   	 UGC  7365     	12 19 30.7	+14 52 44	-3.0	 1.27	 0.04	   	12.49	 0.64	11.14
NGC  4914   	 UGC  8125     	13 00 42.8	+37 18 58	-4.0	 1.54	 0.25	155	12.49	 0.86	12.28
NGC  5156   	 ESO  220- 13  	13 28 44.1	-48 55 00	 3.5	 1.37	 0.07	   	12.49	 0.97	12.83
NGC  5898   	 ESO  514-  2  	15 18 13.3	-24 05 49	-5.0	 1.34	 0.04	   	12.49	 0.87	12.33
NGC  6181   	 UGC 10439     	16 32 20.9	+19 49 30	 5.0	 1.40	 0.35	175	12.49	 0.78	11.88
NGC  7676   	 ESO  148- 16  	23 29 02.0	-59 43 04	-3.0	 1.22	 0.26	 85	12.49	 0.56	
NGC   309   	 MCG -2- 3- 50 	00 56 42.7	-09 54 51	 5.0	 1.48	 0.08	   	12.50	 1.17	13.84
IC   2035   	 ESO  250-  7  	04 09 01.5	-45 31 04	-2.0	 1.07	 0.10	 86	12.50	     	
IC   2311   	 ESO  495-  2  	08 18 45.7	-25 22 14	-5.0	 1.32	 0.04	   	12.50	 0.88	12.39
NGC  2911   	 UGC  5092     	09 33 46.5	+10 09 09	-2.0	 1.61	 0.11	140	12.50	 1.23	14.14
NGC  3263   	 ESO  263- 43  	10 29 13.7	-44 06 17	 6.0	 1.71	 0.56	 97	12.50	     	
NGC  3268   	 ESO  375- 45  	10 30 00.6	-35 19 30	-5.0	 1.54	 0.14	 71	12.50	 1.08	13.41
            	 ESO  263- 48  	10 31 11.3	-46 15 02	-2.0	 1.42	 0.25	168	12.50	 1.04	13.17
NGC  3264   	 UGC  5719     	10 32 20.3	+56 05 00	 8.0	 1.46	 0.37	177	12.50	     	
NGC  3277   	 UGC  5731     	10 32 55.4	+28 30 43	 2.0	 1.29	 0.05	   	12.50	 0.88	12.39
NGC  3516   	 UGC  6153     	11 06 47.3	+72 34 12	-2.0	 1.24	 0.11	   	12.50	 0.58	10.92
NGC  3619   	 UGC  6330     	11 19 21.8	+57 45 35	-1.0	 1.43	 0.06	   	12.50	 0.93	12.67
NGC  3732   	 MCG -2-30-  5 	11 34 14.0	-09 50 45	 0.0	 1.09	 0.02	 82	12.50	 0.50	
NGC  3963   	 UGC  6884     	11 54 59.3	+58 29 37	 4.0	 1.44	 0.04	   	12.50	     	
NGC  4302   	 UGC  7418     	12 21 42.5	+14 36 05	 5.0	 1.74	 0.74	178	12.50	     	
            	 ESO  384-  2  	13 51 19.3	-33 48 31	 8.3	 1.68	 0.26	125	12.50	     	
NGC  5690   	 UGC  9416     	14 37 41.4	+02 17 17	 5.0	 1.53	 0.53	143	12.50	     	
NGC  5750   	 UGC  9512     	14 46 11.3	-00 13 19	 0.0	 1.48	 0.28	 65	12.50	 0.94	12.69
NGC  5899   	 UGC  9789     	15 15 03.4	+42 02 58	 5.0	 1.50	 0.43	 18	12.50	 1.02	13.09
IC   4710   	 ESO  103- 22  	18 28 38.2	-66 58 54	 9.0	 1.56	 0.11	  5	12.50	     	
            	 ESO  337- 10  	19 05 59.5	-42 21 59	    	 1.12	 0.06	 42	12.50	 0.75	
IC   4906   	 ESO  142- 57  	19 56 47.6	-60 28 05	-2.7	 1.20	 0.26	 69	12.50	 0.79	
IC   5186   	 ESO  405-  7  	22 18 46.6	-36 48 03	 3.2	 1.27	 0.20	112	12.50	 0.85	12.24
NGC   630   	 ESO  297-  9  	01 35 36.7	-39 21 36	-3.0	 1.21	 0.07	   	12.51	 0.69	
NGC  1090   	 UGC  2247     	02 46 33.5	-00 14 48	 4.0	 1.60	 0.36	102	12.51	 1.11	13.66
NGC  1339   	 ESO  418-  4  	03 28 06.5	-32 17 10	-4.4	 1.28	 0.14	172	12.51	 0.76	11.80
NGC  2339   	 UGC  3693     	07 08 20.7	+18 46 54	 4.0	 1.43	 0.12	175	12.51	 1.02	13.10
IC   2554   	 ESO   92- 12  	10 08 51.4	-67 01 39	 4.0	 1.49	 0.38	175	12.51	 1.02	13.10
NGC  3917   	 UGC  6815     	11 50 45.4	+51 49 33	 6.0	 1.71	 0.61	 77	12.51	 1.26	14.27
NGC  4189   	 UGC  7235     	12 13 46.8	+13 25 36	 6.0	 1.38	 0.14	 85	12.51	     	
NGC  4237   	 UGC  7315     	12 17 10.7	+15 19 28	 4.0	 1.32	 0.19	108	12.51	     	
NGC  4324   	 UGC  7451     	12 23 05.7	+05 14 59	-1.0	 1.44	 0.35	 53	12.51	 0.74	11.70
NGC  4767   	 ESO  323- 36  	12 53 53.3	-39 42 52	-4.5	 1.42	 0.33	  0	12.51	 0.91	12.55
IC   5181   	 ESO  289-  1  	22 13 21.4	-46 01 07	-2.0	 1.42	 0.51	 74	12.51	 0.55	10.75
NGC   410   	 UGC   735     	01 10 58.4	+33 09 06	-4.0	 1.38	 0.26	 30	12.52	 1.06	13.31
NGC  5614   	 UGC  9226     	14 24 08.2	+34 51 27	 2.0	 1.39	 0.08	   	12.52	 0.94	12.71
IC   4731   	 ESO  103- 37  	18 38 43.1	-62 56 34	-1.3	 1.17	 0.31	 82	12.52	 0.66	
NGC   470   	 UGC   858     	01 19 45.6	+03 24 37	 3.0	 1.45	 0.21	155	12.53	 1.02	13.12
NGC  2781   	 MCG -2-24-  2 	09 11 27.6	-14 49 01	-1.0	 1.48	 0.30	 85	12.53	 0.68	11.42
NGC  4294   	 UGC  7407     	12 21 17.4	+11 30 40	 6.0	 1.51	 0.42	155	12.53	 1.00	13.02
NGC  4312   	 UGC  7442     	12 22 31.5	+15 32 20	 1.5	 1.66	 0.61	170	12.53	 1.14	13.69
NGC  4389   	 UGC  7514     	12 25 35.1	+45 41 10	 4.0	 1.42	 0.29	105	12.53	     	
NGC  4889   	 UGC  8110     	13 00 08.3	+27 58 39	-4.0	 1.46	 0.19	 80	12.53	 1.00	13.10
NGC   266   	 UGC   508     	00 49 48.2	+32 16 43	 2.0	 1.47	 0.01	   	12.54	 1.15	13.78
NGC  3145   	 MCG -2-26- 36 	10 10 10.0	-12 26 02	 4.0	 1.49	 0.29	   	12.54	 1.03	13.18
NGC  4313   	 UGC  7445     	12 22 38.1	+11 48 13	 2.0	 1.60	 0.59	143	12.54	     	
NGC   521   	 UGC   962     	01 24 34.2	+01 43 54	 4.0	 1.50	 0.04	 20	12.55	 1.14	13.74
IC   1864   	 ESO  356- 17  	02 53 39.6	-34 11 49	    	 1.07	 0.21	 63	12.55	 0.65	
NGC  1310   	 ESO  357- 19  	03 21 04.0	-37 06 04	 5.0	 1.30	 0.11	 95	12.55	 1.09	13.49
NGC  2273   	 UGC  3546     	06 50 08.6	+60 50 45	 0.5	 1.51	 0.12	 50	12.55	 0.94	12.74
IC    520   	 UGC  4630     	08 53 41.2	+73 29 26	 2.0	 1.29	 0.10	  0	12.55	 1.00	13.04
NGC  3769   	 UGC  6595     	11 37 43.8	+47 53 40	 3.0	 1.49	 0.50	152	12.55	     	
NGC  4402   	 UGC  7528     	12 26 07.9	+13 06 46	 3.0	 1.59	 0.55	 90	12.55	     	
NGC  6769   	 ESO  141- 48  	19 18 22.7	-60 30 03	 3.0	 1.37	 0.19	123	12.55	 1.02	12.99
            	 ESO  186- 36  	20 21 18.9	-53 45 51	 1.0	 1.27	 0.55	 18	12.55	 0.82	
NGC  1440   	 ESO  549- 10  	03 45 03.4	-18 16 03	-1.9	 1.33	 0.12	 28	12.56	 0.90	12.55
NGC  2552   	 UGC  4325     	08 19 20.3	+50 00 27	 9.0	 1.54	 0.18	 45	12.56	 1.36	14.85
NGC  2639   	 UGC  4544     	08 43 38.0	+50 12 24	 1.0	 1.26	 0.22	140	12.56	     	
NGC  4550   	 UGC  7757     	12 35 30.9	+12 13 17	-1.5	 1.52	 0.55	178	12.56	 0.70	11.53
NGC  5595   	 MCG -3-37-  1 	14 24 13.4	-16 43 23	 5.0	 1.35	 0.26	 50	12.56	 0.90	12.55
NGC  5740   	 UGC  9493     	14 44 24.6	+01 40 46	 3.0	 1.47	 0.29	160	12.56	     	
NGC  6764   	 UGC 11407     	19 08 16.7	+50 55 54	 3.5	 1.36	 0.25	 62	12.56	 1.16	13.85
NGC  7421   	 ESO  346- 17  	22 56 54.6	-37 20 44	 4.0	 1.31	 0.05	   	12.56	 1.13	13.50
NGC  7755   	 ESO  471- 20  	23 47 51.9	-30 31 10	 4.7	 1.58	 0.12	 20	12.56	 0.98	12.95
NGC  2865   	 ESO  498-  1  	09 23 30.8	-23 09 48	-5.0	 1.39	 0.13	   	12.57	 0.62	11.16
NGC  3056   	 ESO  435-  7  	09 54 33.0	-28 17 49	-1.0	 1.26	 0.20	 16	12.57	 0.75	11.81
NGC  5090   	 ESO  270-  2  	13 21 13.5	-43 42 18	-5.0	 1.46	 0.08	   	12.57	     	
NGC  6673   	 ESO  140- 44  	18 45 07.0	-62 17 48	-4.0	 1.34	 0.37	 26	12.57	 0.71	11.61
NGC  7443   	 MCG -2-58- 15 	23 00 06.0	-12 48 00	-1.0	 1.17	 0.42	 30	12.57	     	
NGC   877   	 UGC  1768     	02 17 58.7	+14 32 50	 4.0	 1.38	 0.12	140	12.58	 0.97	12.92
NGC  1453   	 MCG -1-10- 34 	03 46 27.3	-03 58 10	-5.0	 1.38	 0.09	   	12.58	 0.92	12.67
NGC  4763   	 MCG -3-33- 13 	12 53 27.2	-17 00 21	 1.0	 1.18	 0.15	   	12.58	 0.69	
IC   5041   	 ESO  463- 21  	20 43 33.9	-29 42 16	 7.0	 1.42	 0.24	 28	12.58	     	
            	 ESO   79-  3  	00 32 02.1	-64 15 09	 3.0	 1.43	 0.81	134	12.59	 0.96	
NGC   718   	 UGC  1356     	01 53 12.5	+04 11 48	 1.0	 1.37	 0.06	 45	12.59	     	
NGC  1359   	 ESO  548- 39  	03 33 47.9	-19 29 29	 9.0	 1.38	 0.14	139	12.59	 1.16	13.88
NGC  2513   	 UGC  4184     	08 02 25.0	+09 24 46	-5.0	 1.40	 0.09	170	12.59	 1.04	13.28
IC   4464   	 ESO  385- 50  	14 37 49.3	-36 52 40	-1.8	 1.21	 0.41	 61	12.59	 0.59	
IC   1633   	 ESO  243- 46  	01 09 55.3	-45 55 51	-4.0	 1.46	 0.08	120	12.60	 0.95	12.88
NGC   745   	 ESO  152- 32  	01 54 09.3	-56 41 24	-1.4	 1.12	 0.24	   	12.60	 0.87	
NGC  1179   	 ESO  547-  1  	03 02 38.4	-18 53 52	 6.0	 1.69	 0.11	 35	12.60	     	
            	 ESO  358- 63  	03 46 18.8	-34 56 33	90.0	 1.67	 0.57	133	12.60	 1.10	13.63
A   1020+71 	 UGC  5612     	10 24 00.0	+70 52 00	 8.0	 1.53	 0.18	165	12.60	 1.32	14.73
            	 ESO  436- 27  	10 28 53.8	-31 36 34	-2.0	 1.37	 0.30	  0	12.60	     	
NGC  3309   	 ESO  501- 36  	10 36 36.3	-27 31 05	-5.0	 1.27	 0.06	   	12.60	 0.98	12.99
Leo II      	 UGC  6253     	11 13 29.3	+22 09 12	-5.0	 2.08	 0.04	   	12.60	 1.74	16.78
NGC  3691   	 UGC  6464     	11 28 08.6	+16 55 15	 3.0	 1.13	 0.13	 15	12.60	     	
NGC  4373A  	 ESO  322-  8  	12 25 37.6	-39 19 12	-1.5	 1.41	 0.49	149	12.60	 0.59	11.04
            	 ESO  381- 12  	12 44 05.2	-34 12 13	    	 0.99	 0.09	   	12.60	     	
NGC  4650   	 ESO  322- 67  	12 44 20.5	-40 43 55	 0.3	 1.51	 0.06	 83	12.60	 1.20	14.09
NGC  4904   	 UGC  8121     	13 00 58.8	-00 01 39	 6.0	 1.34	 0.18	 25	12.60	     	
NGC  5112   	 UGC  8403     	13 21 56.7	+38 44 15	 6.0	 1.60	 0.15	130	12.60	     	
NGC  5150   	 ESO  444- 43  	13 27 36.7	-29 33 44	 3.5	 1.11	 0.11	115	12.60	     	
NGC  5264   	 ESO  445- 12  	13 41 37.0	-29 54 50	10.0	 1.40	 0.22	   	12.60	 1.14	13.79
NGC  5597   	 MCG -3-37-  2 	14 24 27.5	-16 45 46	 6.0	 1.32	 0.10	 95	12.60	 1.07	13.44
NGC  5687   	 UGC  9395     	14 34 53.3	+54 28 34	-3.0	 1.38	 0.15	105	12.60	     	
NGC  5965   	 UGC  9914     	15 34 02.1	+56 41 10	 3.0	 1.72	 0.85	 53	12.60	 1.24	14.29
NGC  6746   	 ESO  141- 29  	19 10 22.0	-61 58 13	-3.7	 1.15	 0.19	173	12.60	 0.85	
IC   5084   	 ESO  107-  7  	21 09 14.1	-63 17 25	 3.0	 1.20	 0.21	137	12.60	 0.83	
NGC  7057   	 ESO  287- 17  	21 24 58.6	-42 27 39	-3.4	 1.15	 0.17	132	12.60	 0.76	
            	 ESO  240- 10  	23 37 44.3	-47 30 17	-2.0	 1.60	 0.33	133	12.60	     	
NGC  7764   	 ESO  293-  4  	23 50 54.5	-40 43 55	10.0	 1.28	 0.14	148	12.60	     	
IC   1558   	 ESO  474-  2  	00 35 48.0	-25 22 23	 8.7	 1.53	 0.14	150	12.61	 1.44	15.30
NGC  1016   	 UGC  2128     	02 38 19.7	+02 07 05	-4.5	 1.38	 0.00	   	12.61	 1.08	13.50
NGC  4033   	 ESO  572- 42  	12 00 34.8	-17 50 30	-5.0	 1.41	 0.37	 47	12.61	 0.72	11.70
            	 ESO  507- 25  	12 51 32.0	-26 27 06	-3.0	 1.36	 0.11	102	12.61	 0.81	12.15
IC   4946   	 ESO  285-  7  	20 23 57.4	-43 59 47	-0.1	 1.39	 0.38	 68	12.61	 0.87	12.45
NGC  6909   	 ESO  285- 12  	20 27 38.7	-47 01 34	-3.8	 1.35	 0.31	 68	12.61	 0.94	12.80
NGC  7097   	 ESO  287- 48  	21 40 13.4	-42 32 23	-5.0	 1.29	 0.17	 20	12.61	 0.78	12.00
NGC   254   	 ESO  411- 15  	00 47 27.6	-31 25 14	-0.7	 1.39	 0.21	137	12.62	 0.77	11.96
NGC  2082   	 ESO   86- 21  	05 41 51.3	-64 18 04	 3.0	 1.26	 0.03	   	12.62	 0.96	12.91
IC    529   	 UGC  4888     	09 18 32.2	+73 45 31	 5.3	 1.56	 0.34	145	12.62	     	
IC   2627   	 ESO  502- 21  	11 09 53.3	-23 43 35	 4.0	 1.43	 0.06	   	12.62	 1.03	13.26
NGC  4235   	 UGC  7310     	12 17 08.9	+07 11 31	 1.0	 1.62	 0.65	 48	12.62	 0.95	12.83
IC   5105   	 ESO  342- 39  	21 24 22.2	-40 32 11	-4.1	 1.42	 0.22	 40	12.62	 0.93	12.76
NGC  7392   	 ESO  603- 22  	22 51 49.4	-20 36 27	 4.0	 1.33	 0.23	123	12.62	 0.84	12.31
NGC  2523   	 UGC  4271     	08 14 59.2	+73 34 49	 4.0	 1.47	 0.21	 57	12.63	 1.13	13.77
NGC  2855   	 MCG -2-24- 15 	09 21 27.5	-11 54 35	 0.0	 1.39	 0.05	   	12.63	 0.74	11.82
NGC  3894   	 UGC  6779     	11 48 51.4	+59 25 01	-5.0	 1.45	 0.21	 20	12.63	 0.93	12.77
NGC  4379   	 UGC  7502     	12 25 14.8	+15 36 27	-2.5	 1.28	 0.07	105	12.63	 0.75	11.81
NGC  4378   	 UGC  7497     	12 25 17.5	+04 55 36	 1.0	 1.46	 0.03	167	12.63	 0.79	12.07
NGC  4874   	 UGC  8103     	12 59 35.3	+27 57 36	-4.0	 1.29	 0.00	   	12.63	 1.13	14.01
NGC  5172   	 UGC  8477     	13 29 19.4	+17 03 06	 4.0	 1.52	 0.28	103	12.63	 1.12	13.72
IC   4351   	 ESO  445- 84  	13 57 54.2	-29 18 54	 3.0	 1.78	 0.81	 17	12.63	 0.93	12.77
NGC  7562   	 UGC 12464     	23 15 57.4	+06 41 15	-5.0	 1.35	 0.18	 83	12.63	 0.88	12.52
NGC  7785   	 UGC 12841     	23 55 19.1	+05 54 53	-5.0	 1.39	 0.26	143	12.63	 0.89	12.57
NGC  1032   	 UGC  2147     	02 39 23.6	+01 05 36	 0.0	 1.52	 0.47	 68	12.64	 0.89	12.58
NGC  1275   	 UGC  2669     	03 19 48.5	+41 30 45	99.0	 1.34	 0.12	110	12.64	 0.75	11.88
NGC  2763   	 MCG -2-23- 10 	09 06 49.1	-15 29 59	 6.0	 1.36	 0.06	   	12.64	 1.01	13.18
NGC  3955   	 ESO  504- 26  	11 53 57.9	-23 09 54	 0.0	 1.46	 0.49	165	12.64	 0.81	12.18
NGC  4586   	 UGC  7804     	12 38 28.1	+04 19 08	 1.0	 1.60	 0.47	115	12.64	 1.18	13.84
NGC  6699   	 ESO  183- 21  	18 52 02.6	-57 19 11	 4.1	 1.19	 0.02	   	12.64	 0.94	12.83
NGC  3311   	 ESO  501- 38  	10 36 43.3	-27 31 41	-4.0	 1.54	 0.08	   	12.65	 1.05	13.39
A   1154+49 	 UGC  6930     	11 57 17.2	+49 17 08	 7.0	 1.64	 0.20	   	12.65	     	
NGC  4024   	 ESO  572- 31  	11 58 31.5	-18 20 42	-3.0	 1.28	 0.11	 70	12.65	 0.85	12.39
A   1852-54 	 ESO  183- 30  	18 56 56.1	-54 32 50	-2.9	 1.28	 0.13	 16	12.65	 0.67	11.49
NGC  6758   	 ESO  184- 37  	19 13 52.3	-56 18 33	-4.3	 1.35	 0.11	121	12.65	 0.83	12.29
NGC  1726   	 MCG -1-13- 42 	04 59 42.0	-07 45 20	-2.0	 1.17	 0.12	170	12.66	 0.90	12.65
NGC  4152   	 UGC  7169     	12 10 37.6	+16 02 01	 5.0	 1.35	 0.11	115	12.66	 0.81	12.24
NGC  4380   	 UGC  7503     	12 25 22.2	+10 00 57	 3.0	 1.54	 0.26	153	12.66	 0.95	13.16
NGC  5600   	 UGC  9220     	14 23 49.6	+14 38 17	 5.0	 1.16	 0.02	   	12.66	 0.68	11.55
IC   5267B  	 ESO  290- 27  	22 56 56.7	-43 45 39	-2.0	 1.27	 0.35	106	12.66	 0.74	
NGC    57   	 UGC   145     	00 15 31.0	+17 19 36	-5.0	 1.35	 0.07	 40	12.67	 1.15	13.91
            	 ESO  550- 24  	04 21 13.4	-21 50 39	 6.7	 1.75	 0.42	132	12.67	     	
NGC  3818   	 MCG -1-30- 23 	11 41 57.4	-06 09 21	-5.0	 1.31	 0.22	100	12.67	 0.87	12.51
NGC  4386   	 UGC  7491     	12 24 29.2	+75 31 49	-2.3	 1.39	 0.26	135	12.67	 0.79	12.11
NGC  4383   	 UGC  7507     	12 25 25.6	+16 28 12	 1.0	 1.29	 0.28	 28	12.67	 0.57	11.04
NGC  4606   	 UGC  7839     	12 40 57.8	+11 54 41	 1.0	 1.51	 0.30	 33	12.67	     	
NGC  5328   	 ESO  445- 67  	13 52 53.7	-28 29 16	-5.0	 1.24	 0.14	 87	12.67	 0.87	12.51
NGC  2397   	 ESO   58- 30  	07 21 21.0	-69 00 07	 2.8	 1.39	 0.32	123	12.68	 0.89	12.62
NGC  3183   	 UGC  5582     	10 21 50.4	+74 10 41	 3.5	 1.37	 0.23	170	12.68	     	
            	 ESO  377- 29  	11 14 38.8	-33 54 21	-2.0	 1.18	 0.40	128	12.68	     	
NGC  4696B  	 ESO  322- 81  	12 47 21.4	-41 14 16	-2.7	 1.13	 0.27	 40	12.68	     	
NGC  5426   	 MCG -1-36-  4 	14 03 25.0	-06 04 10	 5.0	 1.47	 0.26	 10	12.68	 1.03	13.32
NGC  5791   	 ESO  581-  7  	14 58 46.0	-19 16 03	-5.0	 1.42	 0.29	163	12.68	 0.86	12.47
NGC  6923   	 ESO  462- 29  	20 31 38.6	-30 50 01	 3.0	 1.42	 0.31	 78	12.68	 0.97	13.02
            	 ESO  322- 51  	12 40 53.9	-41 36 22	-3.0	 1.23	 0.54	 52	12.69	 0.72	
NGC  5198   	 UGC  8499     	13 30 11.5	+46 40 16	-5.0	 1.32	 0.07	   	12.69	 0.93	12.83
NGC  6012   	 UGC 10083     	15 54 13.5	+14 36 08	 2.0	 1.32	 0.14	168	12.69	 1.04	13.38
NGC  6851   	 ESO  233- 21  	20 03 33.6	-48 17 02	-5.0	 1.31	 0.14	160	12.69	 0.75	11.93
NGC  6872   	 ESO   73- 32  	20 16 56.1	-70 46 04	 3.0	 1.78	 0.54	 66	12.69	 0.94	12.88
            	 ESO  234- 21  	20 24 20.0	-49 41 04	-2.0	 1.16	 0.14	165	12.69	 0.85	
NGC   337A  	 MCG -1- 3- 65 	01 01 34.0	-07 35 21	 8.0	 1.77	 0.12	   	12.70	 1.42	15.27
A   0143-43 	 ESO  245-  5  	01 45 03.8	-43 35 53	10.0	 1.56	 0.06	122	12.70	     	
NGC  1172   	 MCG -3- 8- 59 	03 01 36.1	-14 50 13	-3.7	 1.37	 0.11	   	12.70	 1.11	13.67
NGC  1587   	 UGC  3063     	04 30 39.6	+00 39 43	-5.0	 1.23	 0.06	144	12.70	 0.89	12.64
NGC  2340   	 UGC  3720     	07 11 10.7	+50 10 27	-5.0	 1.26	 0.17	  8	12.70	 1.32	14.78
NGC  2517   	 MCG -2-21-  3 	08 02 47.2	-12 19 07	-1.7	 1.17	 0.14	   	12.70	 0.95	12.96
NGC  2672   	 UGC  4619     	08 49 22.3	+19 04 30	-5.0	 1.47	 0.02	   	12.70	 0.85	12.48
NGC  2716   	 UGC  4692     	08 57 36.2	+03 05 26	-1.0	 1.11	 0.10	 30	12.70	 1.17	14.02
NGC  2907   	 MCG -3-25-  2 	09 31 36.6	-16 44 09	 1.0	 1.26	 0.22	   	12.70	 0.87	12.57
NGC  3055   	 UGC  5328     	09 55 17.4	+04 16 17	 5.0	 1.32	 0.21	 63	12.70	     	
NGC  3136B  	 ESO   92- 13  	10 10 13.3	-67 00 18	-4.0	 1.18	 0.23	 30	12.70	 1.18	14.05
NGC  3281   	 ESO  375- 55  	10 31 52.2	-34 51 27	 2.1	 1.52	 0.30	140	12.70	 1.05	13.44
NGC  3666   	 UGC  6420     	11 24 25.7	+11 20 34	 5.0	 1.64	 0.56	100	12.70	     	
NGC  3995   	 UGC  6944     	11 57 44.4	+32 17 38	 9.0	 1.44	 0.42	 33	12.70	     	
NGC  4260   	 UGC  7361     	12 19 22.0	+06 06 01	 1.0	 1.43	 0.30	 58	12.70	     	
NGC  4440   	 UGC  7581     	12 27 53.3	+12 17 35	 1.0	 1.27	 0.08	   	12.70	 0.73	11.92
NGC  4733   	 UGC  7997     	12 51 06.9	+10 54 45	-4.0	 1.30	 0.46	   	12.70	 0.99	13.14
A   1312+46 	 UGC  8320     	13 14 28.6	+45 55 10	10.0	 1.56	 0.42	150	12.70	 1.32	14.82
            	 ESO  269- 80  	13 19 01.7	-47 15 27	-3.0	 1.12	 0.05	  5	12.70	     	
NGC  5533   	 UGC  9133     	14 16 07.7	+35 20 42	 2.0	 1.49	 0.21	 30	12.70	     	
NGC  5796   	 MCG -3-38- 39 	14 59 24.1	-16 37 27	-5.0	 1.39	 0.14	   	12.70	 0.80	12.19
NGC  5967   	 ESO   42- 10  	15 48 16.3	-75 40 22	 4.9	 1.46	 0.23	 90	12.70	 1.07	13.53
NGC  6708   	 ESO  183- 27  	18 55 35.5	-53 43 26	 3.0	 1.06	 0.13	167	12.70	 0.68	
            	 ESO  235- 55  	21 05 54.9	-48 12 23	 4.2	 1.56	 0.09	   	12.70	 1.17	14.08
IC   5157   	 ESO  404- 26  	22 03 26.9	-34 56 28	-5.0	 1.16	 0.04	   	12.70	 0.84	
NGC    14   	 UGC    75     	00 08 46.4	+15 48 54	10.0	 1.45	 0.13	 25	12.71	 1.17	14.05
NGC  2749   	 UGC  4763     	09 05 21.6	+18 18 52	-5.0	 1.24	 0.08	   	12.71	 1.05	13.45
NGC  3888   	 UGC  6765     	11 47 33.7	+55 58 17	 5.0	 1.24	 0.13	120	12.71	 0.83	12.35
NGC  4219   	 ESO  267- 37  	12 16 28.0	-43 19 28	 4.0	 1.63	 0.53	 36	12.71	 0.98	13.10
NGC  5854   	 UGC  9726     	15 07 48.2	+02 34 09	-1.0	 1.44	 0.54	 55	12.71	 0.70	11.70
NGC  7135   	 ESO  403- 35  	21 49 43.7	-34 52 42	-3.0	 1.47	 0.18	 47	12.71	 1.02	13.35
NGC  2460   	 UGC  4097     	07 56 52.8	+60 21 00	 1.0	 1.39	 0.12	 40	12.72	 0.79	12.16
NGC  2713   	 UGC  4691     	08 57 20.6	+02 55 21	 2.0	 1.56	 0.38	107	12.72	 0.86	12.51
NGC  3001   	 ESO  434- 38  	09 46 19.1	-30 26 18	 3.9	 1.46	 0.17	  6	12.72	 0.87	12.56
NGC  4454   	 UGC  7606     	12 28 51.1	-01 56 27	 0.0	 1.30	 0.07	100	12.72	 1.07	13.56
NGC  4786   	 MCG -1-33- 46 	12 54 32.6	-06 51 30	-3.5	 1.21	 0.11	170	12.72	 0.88	12.61
NGC  5987   	 UGC  9971     	15 39 58.2	+58 04 56	 3.0	 1.62	 0.50	165	12.72	 1.00	13.21
IC   4618   	 ESO   43-  9  	16 57 51.4	-76 59 32	 4.1	 1.24	 0.12	118	12.72	 1.06	13.51
NGC  2701   	 UGC  4695     	08 59 06.3	+53 46 10	 5.0	 1.34	 0.13	 23	12.73	 0.98	13.12
NGC  4425   	 UGC  7562     	12 27 13.4	+12 44 09	-1.0	 1.47	 0.47	 27	12.73	 0.88	12.65
NGC  5397   	 ESO  384- 31  	14 01 10.2	-33 56 40	-2.5	 1.16	 0.16	 60	12.73	     	
